*sheet 1
83-2847 6 1.18
83-2848 3 0.47
83-2849 2 0.52
83-3133 5 1.10
83-2903 11 3.50
83-3321 29 0.28
83-3522 16 0.13
83-3554 12 7.59
83-3556 18 1.80
83-3793 9 0.94
83-3849 3 2.75
83-4086 2 0.59
83-4600 1 0.80
83-4606 1 5.00
83-4607 1 5.00
83-4763 2 1.12
83-4776 5 1.38
83-4800 1 0.22
83-4784 4 2.40
83-4782 5 2.44
83-4806 4 1.33
83-4823 5 0.89
83-4854 1 4.01
83-4930 4 0.55
83-4934 20 0.81
83-5001 3 3.63
83-5009 4 0.36
83-5150 1 2.24
83-5151 13 0.67
83-5161 1 4.08
*sheet 51
83-5168 9 0.24
83-5285 8 0.35
83-5290 5 0.98
83-5353 8 0.84
83-5890 2 0.78
83-5892 1 7.80
83-5899 2 4.70
83-5467 5 1.90
83-7003 2 4.45
83-7016 9 1.70
83-7028 2 2.90
83-7041 2 4.67
83-7046 2 6.45
83-7064 4 0.86
83-7053 3 2.48
83-7059 2 0.34
83-7057 62 0.09
83-7070 4 0.80
83-7084 1 11.02
83-7145 2 0.40
83-7148 2 1.70
83-7151 2 0.09
83-7163 3 2.20
83-7221 27 0.09
83-7328 19 0.92
83-7329 9 1.71
83-7357 2 5.50
83-7460 7 0.70
83-7467 9 4.01
*sheet 52
83-7533 9 0.61
83-7544 10 0.17
83-7567 5 6.03
83-7582 2 2.40
83-7644 1 6.50
83-7703 2 2.67
83-7882 2 0.27
83-7910 3 0.71
83-7966 2 4.66
83-7970 4 2.01
83-8023 10 4.94
83-8026 10 4.85
83-8034 3 13.36
83-8036 1 13.36
83-8038 4 6.98
83-8039 4 2.40
83-8191 7 2.40
83-8261 2 16.35
83-8272 2 3.42
83-8331 4 1.20
83-8333 1 28.00
83-8546 5 2.10
83-8547 5 1.01
83-8656 2 1.25
84-0026 18 1.11
84-0056 10 2.52
84-0027 1 4.64
97-0095 6 0.87
97-0111 5 3.80
97-0200 2 0.22
97-0400 2 0.60
97-0405 1 3.50
97-0431 8 0.48
84-0017 1 10.02
*sheet 53
97-0432 16 6.00
97-0435 2 4.30
97-0436 42 0.80
97-0439 6 3.60
97-0506 4 1.80
97-0519 34 0.28
97-0623 4 3.00
97-0624 4 3.00
97-0688 36 0.12
97-0669 4 1.80
97-0745 42 0.29
97-0877 3 3.00
97-0878 3 3.00
97-0941 5 2.45
97-1018 4 4.80
97-1062 8 0.14
97-1071 14 0.32
97-1070 11 0.72
97-1140 1 4.80
97-1142 5 2.90
97-1168 1 1.71
97-1117 2 44.00
97-1500 10 2.30
97-1527 2 4.40
97-1529 18 0.38
97-1531 3 0.80
97-1581 9 0.32
97-1618 10 0.32
97-1656 2 2.15
97-1681 2 5.40
97-1682 5 2.45
97-1685 4 3.44
97-1696 6 8.00
*sheet 54
97-1797 5 7.92
97-1844 5 2.70
97-1887 1 8.00
97-1896 2 2.45
97-1931 8 0.37
97-1946 3 8.80
97-2108 2 6.68
97-2126 4 2.70
97-2127 4 0.38
97-2154 10 4.80
97-2090 5 4.50
97-2091 20 2.80
97-2161 2 6.00
97-2162 2 6.00
97-2198 4 15.14
97-2208 1 2.25
97-2209 4 0.32
97-2221 4 0.12
97-2262 11 2.94
97-2263 1 6.70
97-2266 23 0.08
97-2288 2 38.00
97-2290 4 2.16
97-2291 2 12.36
97-4001 31 1.60
97-4003 6 0.34
97-4004 5 0.40
97-4009 6 0.42
97-4010 5 0.32
97-3875 3 4.60
*sheet 55
97-3947 35 4.60
97-4012 10 0.53
97-4020 5 1.71
97-4021 48 0.18
97-4022 4 2.50
97-4026 3 4.26
97-4028 7 1.30
97-4036 1 53.13
97-4058 3 9.60
97-4060 4 9.60
97-4102 2 2.80
97-4121 1 8.00
97-4125 2 0.59
97-4145 5 1.20
97-4159 2 6.70
97-4166 19 0.18
97-4244 2 1.58
97-4258 4 4.90
97-4259 14 0.60
97-4262 3 0.65
97-4310 49 0.90
97-3894 10 0.15
97-3682 4 3.60
97-3926 20 0.16
97-3893 47 0.05
97-4317 1 6.80
97-4325 4 12.95
97-4381 1 51.70
97-4381 1 60.00
97-4387 2 2.90
97-4399 1 68.00
97-4406 8 12.00
97-4407 1 12.00
*sheet 56
97-4456 3 9.55
97-4461 2 0.60
97-4476 1 2.28
97-4480 7 17.38
97-4533 2 7.60
97-4534 1 6.80
97-4554 2 14.50
97-4564 8 6.13
97-4574 1 9.16
97-4575 3 9.16
97-4588 8 0.28
97-4589 4 1.38
97-4596 3 0.84
97-5061 12 1.30
97-5078 97 0.60
97-5074 9 10.50
97-7043 5 6.57
97-7093 8 0.59
97-7048 5 4.20
97-7071 2 0.29
97-7079 88 4.20
97-7081 1 51.20
97-7091 6 2.12
97-7119 10 1.76
97-7120 3 0.89
97-7123 27 0.88
97-7191 3 8.90
97-7193 5 8.90
97-7197 10 0.70
97-7198 1 10.24
97-7199 1 10.28
*sheet 57
99-0062 14 0.90
99-0291 5 2.00
99-0509 5 4.50
99-0512 43 4.91
99-0513 4 0.49
99-0514 6 0.43
99-0515 1 0.59
99-0516 12 0.59
99-0517 3 0.95
99-0520 166 0.59
99-0521 372 0.37
99-0528 10 2.32
99-0683 6 0.27
99-0690 3 0.95
99-0704 41 1.14
99-0771 1 28.00
99-1021 7 2.30
99-1024 9 0.76
99-1033 33 0.95
99-1034 201 0.88
99-1046 10 7.00
99-1049 5 2.10
99-1051 3 1.12
99-1083 38 0.66
99-1100 33 8.10
*sheet 58
99-1125 1 6.90
99-1151 2 0.82
99-1153 43 0.36
99-1161 24 2.40
99-1162 16 2.40
99-1168 35 0.24
99-1189 1 1.40
99-1227 4 3.80
99-1231 3 6.14
99-1268 4 14.00
99-2001 10 6.90
60-4374 18 0.36
99-2754 8 1.15
99-2756 1 0.34
99-2757 1 1.10
99-2761 6 0.35
99-2762 46 1.10
99-2763 6 0.38
99-3525 15 1.10
99-3741 13 11.54
99-7006 15 5.64
*sheet 59
99-7041 1 10.84
99-7042 5 10.84
99-7044 1 14.00
99-7134 2 15.10
99-7054 77 2.80
99-7074 2 3.60
99-7075 1 6.39
99-9919 5 0.80
99-9920 5 2.90
99-9926 5 4.40
99-9929 7 17.50
99-9930 8 3.00
99-9932 3 0.56
99-9959 23 0.10
97-2119 2 0.18
99-0784 3 2.70
*sheet 60
71-7224 1 19.50
71-7225 1 19.50
71-7507 1 39.00
83-4606 1 12.40
83-4607 1 12.40
97-7088 7 59.99
97-1131 1 8.60
82-5466 2 41.74
*sheet 61
99-3736 19 44.00
99-3704 12 16.00
37-7072 1 17.71
37-7064 4 17.71
37-7089 6 17.71
37-3747 1 17.71
37-1499 1 17.86
97-4380 8 19.50
82-7306 2 28.50
*sheet 62
70-6838 2 2.63
*sheet 63
82-9947 5 2.20
82-9907 3 2.20
57-2480 4 2.32
57-2465 2 3.36
57-2473 21 0.51
71-3588 6 8.16
57-2555 1 4.50
70-6584 25 1.44
57-2551 2 10.60
57-3751 1 5.40
70-6563 2 9.60
71-3663 10 1.20
71-3589 7 8.16
70-6508 1 10.20
70-6503 11 0.25
70-6502 2 2.70
70-6509 2 9.40
70-6890 3 21.00
70-6889 5 6.17
*sheet 64
71-1451 97 0.15
70-8773 7 0.90
71-3987 3 1.30
70-6496 18 1.80
71-1733 21 2.12
71-1445 41 0.90
60-3954 2 1.70
71-1440 73 0.14
71-1444 4 0.55
71-1441 11 0.63
71-4250 3 2.30
71-1442 41 0.22
71-1453 62 1.40
99-3783 3 8.60
57-4753 1 0.12
57-4875 2 0.32
57-4394 8 5.04
60-4179 1 1.80
57-5086 5 1.68
57-4771 13 0.72
57-4327 1 44.00
57-4795 2 24.04
57-4879 3 24.04
*sheet 65
57-4876 9 1.12
57-4290 12 1.40
57-4445 4 14.04
57-4699 19 3.60
57-5089 4 2.78
57-4756 4 16.04
57-4612 8 1.66
57-4698 6 11.00
57-7008 7 2.03
57-4678 1 10.80
57-4878 1 0.55
99-1119 1 8.00
82-6042 64 1.98
70-7597 2 19.00
99-1026 2 3.86
70-9740 3 70.00
70-9741 5 10.00
70-9739 1 2.63
70-9767 6 3.12
*sheet 66
57-4673 5 33.00
71-3653 1 21.20
97-5055 9 1.70
71-7222 10 0.78
57-3750 1 31.20
71-4182 3 6.23
83-5704 2 16.81
57-5114 3 22.04
82-9360 2 8.00
97-4542 1 51.60
70-9558 1 14.91
70-8820 30 0.56
70-9691 5 3.80
70-8762 5 1.20
70-8761 22 0.26
70-8780 1 18.00
70-8789 7 1.60
70-8742 4 3.12
70-8763 7 1.40
70-7633 2 8.60
70-8741 2 6.34
70-8751 22 0.44
*sheet 67
70-8760 15 1.23
70-8752 1 1.12
70-8740 3 4.88
70-8745 20 1.40
70-6423 18 6.80
70-6422 4 6.50
57-4768 2 28.00
70-6023 2 6.00
70-8991 6 1.22
70-9028 2 21.00
70-9024 3 21.00
70-9026 2 21.00
70-9030 1 21.00
70-9727 75 1.03
57-4937 5 3.24
57-4913 1 0.88
57-4933 4 15.60
*sheet 68
57-4920 4 31.20
70-9334 2 0.40
70-9843 10 0.46
70-9886 1 13.00
71-1238 7 2.90
70-9073 6 1.30
70-9242 9 0.86
82-6898 9 1.30
71-1349 9 0.08
70-9821 41 0.98
70-9057 1 3.80
57-3750 1 31.20
70-8760 10 1.23
71-3664 20 0.67
71-3311 35 1.74
60-7026 19 0.29
60-7117 11 0.18
60-4442 11 1.60
71-3587 6 8.16
60-4429 37 0.29
60-4428 2 0.40
71-1351 1 58.00
*sheet 69
60-4427 11 3.87
60-4508 11 2.44
60-7007 4 3.80
71-3312 30 0.88
60-4432 110 1.56
57-3617 3 2.30
70-6571 4 3.40
57-3717 1 6.69
57-3703 19 .22
70-6570 20 0.38
57-4891 1 41.52
70-6574 14 1.12
71-4458 16 0.30
71-4001 1 6.80
71-4078 11 3.67
71-4360 4 3.20
71-4099 6 4.50
71-4082 13 0.96
71-4084 13 0.94
71-4434 30 0.28
71-4252 10 0.14
71-4251 6 0.89
*sheet 70
71-3221 18 0.58
82-8610 6 9.00
60-0862 5 5.60
83-5976 3 8.80
83-5977 2 8.80
70-9018 30 2.63
70-9017 324 2.63
57-3634 13 2.07
57-3644 1 2.63
57-3647 9 1.44
57-3610 4 5.04
57-3750 1 31.20
57-3643 24 4.56
83-5983 19 5.60
83-5982 19 5.60
71-2718 3 9.46
21-0620 36 3.99
97-4558 4 13.36
60-4149 10 2.88
60-3510 10 2.00
71-3948 129 0.92
*sheet 71
57-4904 5 18.70
70-6426 2 8.16
71-3946 3 5.40
70-6420 8 3.80
70-6466 2 8.16
70-6465 5 8.00
57-4595 1 35.00
57-4883 1 38.00
57-4010 1 40.00
83-5368 2 53.42
83-2513 1 46.75
71-2536 1 3.80
57-3718 4 16.60
71-4459 1 4.00
83-5230 5 4.50
57-4370 5 53.00
71-3924 58 0.48
82-9317 4 3.80
82-9322 8 0.86
71-4400 5 2.72
71-3919 2 2.45
57-5001 10 0.59
*sheet 72
21-2310 31 0.17
70-9916 6 35.00
99-1119 8 8.00
60-0699 1 18.40
82-8743 3 4.80
57-3940 20 0.81
57-3986 5 2.16
21-0692 67 1.12
83-8764 4 0.97
82-8519 10 5.50
83-3665 9 1.40
37-7002 3 26.76
57-3983 1 1.90
60-0890 3 4.80
57-3708 3 26.40
82-9635 2 9.05
82-9372 1 2.80
82-9373 1 2.80
*sheet 73
97-4558 2 13.36
57-4004 3 5.76
21-2341 12 1.07
71-2250 1 5.34
21-1978 1 0.53
70-6580 4 1.60
57-3708 2 16.00
60-3748 10 0.68
















        
