*sheet 1
14-6211 6 1.11
14-6216 44 0.42
14-6217 9 0.32
14-6220 22 0.29
14-6222 32 0.29
14-6223 40 0.30
14-6229 46 0.39
14-6234 49 0.17
14-6242 40 0.53
14-6606 38 0.15
*sheet 15
14-6609 3 0.10
14-6614 25 0.10
14-6615 30 1.07
14-6620 26 0.22
14-7003 30 0.22
14-7004 2 0.22
14-7007 13 0.27
14-7008 21 0.27
14-7012 37 0.39
14-7013 30 0.71
14-7014 39 0.41
14-7017 47 0.44
14-7018 46 0.29
14-7019 1 0.35
14-7020 14 0.32
14-7023 10 0.39
14-7024 6 0.39
14-7103 1 0.15
14-7804 50 0.10
21-0501 51 0.53
21-0541 26 0.53
21-0543 9 0.22
21-0544 2 0.80
21-0545 34 0.34
*sheet 16
21-0550 7 0.65
21-0547 45 0.48
21-0578 18 0.22
21-0571 18 2.54
21-0585 5 1.30
21-0586 2 1.46
21-0588 2 0.44
21-0589 10 0.30
21-0590 2 0.82
21-0594 8 0.58
21-0661 1 0.54
21-0669 41 0.58
21-0684 45 0.32
21-0686 20 1.44
21-0692 358 1.12
21-0755 16 2.04
21-0761 50 0.29
21-0762 51 0.09
21-0774 48 0.15
21-0778 79 0.12
21-1822 33 0.23
21-1805 46 0.10
21-1823 17 0.32
21-1833 30 1.68
*sheet 17
21-1863 38 0.17
21-1864 40 0.17
21-1865 12 0.52
21-1867 6 2.80
21-1866 7 2.70
21-1870 41 0.24
21-1871 31 0.94
21-1873 5 0.68
21-1875 4 0.81
21-1876 43 0.17
21-1877 44 0.20
21-1878 39 0.46
21-1879 22 0.27
21-1883 40 0.48
21-1906 41 0.74
21-1907 41 0.32
21-1908 36 0.24
21-1914 50 0.46
21-1915 15 0.82
21-1916 29 0.32
21-1917 29 0.30
21-1919 5 1.20
21-1933 50 0.70
*sheet 18
21-1934 39 2.52
21-1969 47 0.53
21-1995 2 1.30
21-1996 7 1.64
21-2006 16 1.70
21-2011 20 0.42
21-2012 50 0.63
21-2013 5 0.48
21-2014 10 0.48
21-2016 43 0.70
21-2045 47 1.07
21-2048 7 0.75
21-2062 12 1.35
21-2064 20 0.10
21-2066 29 1.44
21-2078 37 2.16
21-2079 43 0.10
21-2083 50 1.06
21-2087 13 4.76
21-2089 50 0.10
21-2095 3 0.59
21-2102 4 0.32
*sheet 19
21-2109 6 0.40
21-2113 9 3.69
21-2120 50 0.14
21-2149 38 0.46
21-2157 9 0.61
21-2162 40 0.32
21-2177 17 0.75
21-2182 95 0.38
21-2183 2 0.39
21-2189 12 0.53
21-2191 36 0.34
21-2192 37 0.10
21-2197 37 0.29
21-2198 42 5.21
21-2199 36 5.21
21-2200 15 3.14
21-2201 23 3.24
21-2204 19 1.73
21-2205 8 1.86
21-2207 16 0.62
21-2225 48 0.46
21-2230 17 0.10
*sheet 20
21-7003 155 0.20
21-7004 49 0.83
21-7007 49 0.96
21-7008 50 0.12
21-7009 3 0.27
21-7010 48 0.10
21-7024 2 0.25
21-7022 40 0.62
21-7028 54 0.30
21-7030 53 0.05
21-7083 50 0.05
21-7036 51 0.34
21-7038 38 0.20
21-7041 12 1.07
21-7047 48 0.26
21-7049 53 0.32
21-7050 49 0.18
21-7052 9 0.56
21-7064 49 0.59
21-7065 47 0.36
21-7066 50 0.53
21-7072 19 0.49
21-7073 41 0.92
21-7084 60 0.15
*sheet 21
21-7085 42 0.94
21-7091 28 0.38
21-7092 20 1.60
21-7105 48 0.08
21-7110 50 0.81
21-7111 16 0.64
21-7114 20 2.51
21-7116 50 0.39
21-7119 50 0.48
21-7121 45 0.70
21-7122 47 0.44
21-7134 20 1.73
21-7137 52 0.23
21-7138 50 0.10
21-7142 50 0.60
21-7146 10 0.17
22-0001 5 0.10
22-0020 25 0.11
22-0034 4 1.07
22-0039 4 2.27
30-0053 6 4.20
30-0054 20 4.20
37-0103 270 0.22
37-0135 6 0.81
*sheet 22
37-0592 14 1.54
37-0630 18 0.58
37-0653 1 3.36
37-0968 4 1.74
37-1022 8 0.17
37-1045 9 13.10
37-1070 2 5.50
37-1091 19 1.07
37-1090 2 1.35
37-1143 4 0.24
37-1237 8 0.84
37-1301 1 26.40
37-1390 9 13.10
37-1393 6 12.88
37-1406 1 8.60
37-1407 1 8.60
37-1477 2 0.27
37-1481 14 0.90
37-1488 8 0.48
37-1474 8 0.27
37-1509 9 0.38
37-1595 5 0.36
37-1596 7 0.39
*sheet 23
37-1614 4 13.10
37-1635 4 0.34
37-1691 2 0.83
37-1996 3 24.00
37-1999 7 1.35
37-2000 7 1.90
37-2001 2 7.60
37-2006 1 1.50
37-2003 14 3.48
37-2015 1 2.45
37-2026 8 1.06
37-2058 6 0.59
37-3104 2 10.60
37-2338 32 0.27
37-3337 4 1.88
37-3425 19 2.64
37-3426 20 2.64
37-3444 1 4.56
37-3453 1 2.76
37-3454 1 2.23
37-3475 4 6.17
37-3522 26 2.35
37-3590 2 9.65
sheet 24
37-3610 5 4.20
37-1732 2 18.60
37-3714 10 1.34
37-3715 8 0.65
37-3716 8 1.32
37-3717 6 0.39
37-3750 11 0.92
37-3751 3 4.32
37-3759 3 3.60
37-3762 10 1.56
37-3796 13 11.00
37-3797 6 0.75
37-3858 20 1.44
37-3870 20 2.84
37-3919 1 2.29
37-3965 3 12.02
37-3980 5 7.20
37-4014 4 0.88
37-4049 3 0.96
37-4133 9 2.30
37-4135 1 0.32
37-4181 3 3.84
37-4215 5 5.40
37-4217 4 2.52
*sheet 25
37-4236 22 0.80
37-4380 4 1.12
37-7004 17 3.60
37-7051 4 3.81
37-7052 3 3.07
37-7053 4 3.42
37-7054 13 0.29
37-7063 3 12.48
37-7087 6 16.56
37-7088 1 14.94
37-7100 40 0.92
37-7108 25 2.76
37-7091 1 0.94
37-7113 9 11.55
37-7146 1 12.48
48-0214 1 1.10
57-0023 1 2.86
57-0024 1 20.88
57-0047 14 0.15
57-0031 3 2.84
57-0045 8 0.53
57-0280 14 0.98
57-0373 5 0.48
*sheet 26
57-0396 2 19.10
57-0404 2 5.32
57-0405 7 0.32
57-0408 2 19.50
57-0412 3 3.70
57-0440 3 3.20
57-0449 30 1.12
57-0471 3 12.91
57-0472 5 13.22
57-0496 38 0.92
57-0732 3 0.33
57-0928 9 2.90
57-0999 4 0.58
57-1370 4 8.74
57-1385 5 17.76
57-1391 9 0.26
57-1393 6 1.26
57-1405 1 8.74
57-1418 7 1.15
57-1422 2 2.59
57-1426 6 0.48
*sheet 27
57-1431 4 3.30
57-1434 2 1.92
57-1436 11 0.34
57-1440 15 0.32
57-1441 4 2.30
57-1457 3 0.84
57-1464 1 1.38
